Name,Phase,Priority,Type,Subtype,Assignee,Parent,Blocked By
콤보 카운트·보너스 구현,,P2,Gameplay,Typing,,"콤보·입력 피드백 (https://app.notion.com/p/3c712168d52181b98934c0412796757b?pvs=21), LATER-04 · 유물·보상·콤보 확장 (https://app.notion.com/p/LATER-04-3c812168d5218152a139f4f11879c978?pvs=21)",
CORE-03-01 · 런 시작→맵 진입 구현,Phase 1 — Frontend Core,P0,Gameplay,Run,,런 상태·전환 (https://app.notion.com/p/3c712168d52181c389cecf938a9909bc?pvs=21),"RunState 데이터 모델 구현 (https://app.notion.com/p/RunState-3c712168d5218188ba86d1b16e591b86?pvs=21), CombatState 데이터 모델 구현 (https://app.notion.com/p/CombatState-3c712168d5218123bd49c33321c0fbd4?pvs=21)"
재화 명칭·사용처 MVP 범위 결정,,P3,Game Design,Needs Decision,,런 종료·정산 (https://app.notion.com/p/3c712168d521810c8191cc8dad9a8b65?pvs=21),
방어 유형 세분화 범위 결정,,P2,Game Design,Needs Decision,,방어 대응 입력 (https://app.notion.com/p/3c712168d52181748fcefcebcea7939e?pvs=21),
적 공격 타격 시점 처리,,P0,Gameplay,Enemy,,적 공격 예고·타임라인 (https://app.notion.com/p/3c712168d521816587e8df8b350f0b52?pvs=21),"적 공격 게이지 진행 로직 구현 (https://app.notion.com/p/3c712168d52181debb4ce8730e2d2a2d?pvs=21), 피해 계산 공식 구현 (https://app.notion.com/p/3c712168d52181d68570da05088a81fc?pvs=21)"
클리어 정산 로직 구현,Phase 1 — Frontend Core,P0,Gameplay,Economy,,"런 종료·정산 (https://app.notion.com/p/3c712168d521810c8191cc8dad9a8b65?pvs=21), CORE-09 · 정산·로비 복귀 (https://app.notion.com/p/CORE-09-3c812168d52181a2a682f25ae320558e?pvs=21)","전투 승리 판정 구현 (https://app.notion.com/p/3c712168d5218171ab1dd81f6696c215?pvs=21), RunState 데이터 모델 구현 (https://app.notion.com/p/RunState-3c712168d5218188ba86d1b16e591b86?pvs=21)"
사망 정산 로직 구현,Phase 1 — Frontend Core,P0,Gameplay,Economy,,"런 종료·정산 (https://app.notion.com/p/3c712168d521810c8191cc8dad9a8b65?pvs=21), CORE-09 · 정산·로비 복귀 (https://app.notion.com/p/CORE-09-3c812168d52181a2a682f25ae320558e?pvs=21)","전투 패배 판정 구현 (https://app.notion.com/p/3c712168d5218173a778c22e0e5f991b?pvs=21), RunState 데이터 모델 구현 (https://app.notion.com/p/RunState-3c712168d5218188ba86d1b16e591b86?pvs=21)"
커맨드 성공→스킬 시작 연결,Phase 1 — Frontend Core,P0,Gameplay,Skill,지원 정,플레이어 스킬 실행 (https://app.notion.com/p/3c712168d5218135a4c7f0faffdc68bd?pvs=21),"키 입력 버퍼·문자열 매칭 구현 (https://app.notion.com/p/3c712168d5218178b6d5def22db79bfb?pvs=21), 스킬 데이터 계약 구현 (https://app.notion.com/p/3c712168d521818f8d91fec34a7f6cdf?pvs=21), AP 소비·재생 로직 구현 (https://app.notion.com/p/AP-3c712168d521817c8d80c35c44a877d2?pvs=21)"
HP 상태 및 사망 판정 구현,Phase 1 — Frontend Core,P0,Gameplay,Combat,지원 정,피해·HP·AP 처리 (https://app.notion.com/p/HP-AP-3c712168d52181f4acc7fcb2f7a68245?pvs=21),
EnemyAttackTimeline 데이터 모델 구현,,P0,Gameplay,Enemy,지원 정,적 공격 예고·타임라인 (https://app.notion.com/p/3c712168d521816587e8df8b350f0b52?pvs=21),CombatState 데이터 모델 구현 (https://app.notion.com/p/CombatState-3c712168d5218123bd49c33321c0fbd4?pvs=21)
중첩 공격 타임라인 처리,,P1,Gameplay,Combat,,전투 상태·타이밍 엔진 (https://app.notion.com/p/3c712168d521812aa27bfd336331b660?pvs=21),
전투 승리 판정 구현,,P0,Gameplay,Combat,,승패·전투 종료 처리 (https://app.notion.com/p/3c712168d521811e9130ff3a2f1f7284?pvs=21),HP 상태 및 사망 판정 구현 (https://app.notion.com/p/HP-3c712168d5218165bd10c2372b8e79d2?pvs=21)
전투 패배 판정 구현,,P0,Gameplay,Combat,,승패·전투 종료 처리 (https://app.notion.com/p/3c712168d521811e9130ff3a2f1f7284?pvs=21),HP 상태 및 사망 판정 구현 (https://app.notion.com/p/HP-3c712168d5218165bd10c2372b8e79d2?pvs=21)
키 입력 버퍼·문자열 매칭 구현,Phase 1 — Frontend Core,P0,Gameplay,Typing,지원 정,커맨드 입력 판정 (https://app.notion.com/p/3c712168d521814d811ad86f3ec65c3f?pvs=21),
AP 소비·재생 로직 구현,Phase 1 — Frontend Core,P0,Gameplay,Combat,지원 정,피해·HP·AP 처리 (https://app.notion.com/p/HP-AP-3c712168d52181f4acc7fcb2f7a68245?pvs=21),
RunState 데이터 모델 구현,Phase 1 — Frontend Core,P0,Gameplay,Run,지원 정,런 상태·전환 (https://app.notion.com/p/3c712168d52181c389cecf938a9909bc?pvs=21),
장비 4슬롯 상태 구현,Phase 1 — Frontend Core,P1,Gameplay,Equipment,,"장비 슬롯·교체 (https://app.notion.com/p/3c712168d52181a78ad9fc8bc6f73b7d?pvs=21), SUPPORT-03 · 장비 기반 (https://app.notion.com/p/SUPPORT-03-3c812168d52181e49ef9d4d482b6ac4f?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",
스킬 데이터 계약 구현,Phase 1 — Frontend Core,P0,Gameplay,Skill,지원 정,플레이어 스킬 실행 (https://app.notion.com/p/3c712168d5218135a4c7f0faffdc68bd?pvs=21),
Equipment 데이터 모델 구현,Phase 1 — Frontend Core,P1,Gameplay,Equipment,,"장비 데이터·스킬 제공 (https://app.notion.com/p/3c712168d52181e79c6bd52a0386d79f?pvs=21), SUPPORT-03 · 장비 기반 (https://app.notion.com/p/SUPPORT-03-3c812168d52181e49ef9d4d482b6ac4f?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",
Enemy 데이터 모델 구현,,P1,Gameplay,Enemy,,적 데이터·행동 시스템 (https://app.notion.com/p/3c712168d5218188bafbd7ffb93b7ace?pvs=21),
보유 장비 중복 등장 방지 구현,Phase 1 — Frontend Core,P1,Gameplay,Reward,,"장비 보상·드롭 (https://app.notion.com/p/3c712168d52181e798dde426ef936bde?pvs=21), LATER-04 · 유물·보상·콤보 확장 (https://app.notion.com/p/LATER-04-3c812168d5218152a139f4f11879c978?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",
적 공격 선택 루프 구현,,P1,Gameplay,Enemy,,적 데이터·행동 시스템 (https://app.notion.com/p/3c712168d5218188bafbd7ffb93b7ace?pvs=21),
커맨드 언어 방식 결정,,P1,Game Design,Needs Decision,,커맨드 입력 판정 (https://app.notion.com/p/3c712168d521814d811ad86f3ec65c3f?pvs=21),
보상 완료→다음 노드 전환 구현,Phase 1 — Frontend Core,P0,Gameplay,Reward,,"전투 보상·다음 전투 (https://app.notion.com/p/3c712168d52181b4a3ebf742f981b058?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",전투 보상 선택 상태 구현 (https://app.notion.com/p/3c712168d52181bea144f4ac27af324b?pvs=21)
장비→사용 가능 스킬 구성 구현,Phase 1 — Frontend Core,P1,Gameplay,Equipment,,"장비 데이터·스킬 제공 (https://app.notion.com/p/3c712168d52181e79c6bd52a0386d79f?pvs=21), SUPPORT-03 · 장비 기반 (https://app.notion.com/p/SUPPORT-03-3c812168d52181e49ef9d4d482b6ac4f?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",
오입력·초기화 규칙 구현,,P1,Gameplay,Typing,,커맨드 입력 판정 (https://app.notion.com/p/3c712168d521814d811ad86f3ec65c3f?pvs=21),
전투 보상 선택 상태 구현,Phase 1 — Frontend Core,P0,Gameplay,Reward,,"전투 보상·다음 전투 (https://app.notion.com/p/3c712168d52181b4a3ebf742f981b058?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",CORE-05-01 · 전투 종료→맵·정산 분기 구현 (https://app.notion.com/p/CORE-05-01-3c712168d521810395b4fc92a9ad8e39?pvs=21)
스킬 생명주기 타이머 구현,Phase 1 — Frontend Core,P0,Gameplay,Skill,,전투 상태·타이밍 엔진 (https://app.notion.com/p/3c712168d521812aa27bfd336331b660?pvs=21),CombatState 데이터 모델 구현 (https://app.notion.com/p/CombatState-3c712168d5218123bd49c33321c0fbd4?pvs=21)
장비 등급 드롭 테이블 구현,Phase 1 — Frontend Core,P0,Gameplay,Reward,승수 정,"장비 보상·드롭 (https://app.notion.com/p/3c712168d52181e798dde426ef936bde?pvs=21), LATER-04 · 유물·보상·콤보 확장 (https://app.notion.com/p/LATER-04-3c812168d5218152a139f4f11879c978?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",
피해 계산 공식 구현,Phase 1 — Frontend Core,P0,Gameplay,Combat,지원 정,피해·HP·AP 처리 (https://app.notion.com/p/HP-AP-3c712168d52181f4acc7fcb2f7a68245?pvs=21),
적 공격 게이지 진행 로직 구현,,P0,Gameplay,Enemy,,적 공격 예고·타임라인 (https://app.notion.com/p/3c712168d521816587e8df8b350f0b52?pvs=21),"EnemyAttackTimeline 데이터 모델 구현 (https://app.notion.com/p/EnemyAttackTimeline-3c712168d52181689fa4c643d296de68?pvs=21), 스킬 생명주기 타이머 구현 (https://app.notion.com/p/3c712168d52181c1a6b0d9bfe6c1dcad?pvs=21)"
유물 MVP 포함 범위 결정,,P1,Game Design,Needs Decision,,"유물 범위·밸런스 결정 (https://app.notion.com/p/3c712168d52181788d5cdd5febc63028?pvs=21), LATER-04 · 유물·보상·콤보 확장 (https://app.notion.com/p/LATER-04-3c812168d5218152a139f4f11879c978?pvs=21)",
MVP 일반 적 2종 선정·명세,,P1,Game Design,Encounter,,최소 적·엘리트·보스 콘텐츠 (https://app.notion.com/p/3c712168d521813a8e14fac240b378e4?pvs=21),
본선 3분 피치 초안 준비,,P3,Submission,Presentation,,"선택 제출·발표 자료 (https://app.notion.com/p/3c712168d52181708a4af5e17262ce78?pvs=21), LATER-06 · 선택 제출·발표 (https://app.notion.com/p/LATER-06-3c812168d52181b6930ad98a0e55de75?pvs=21)",
MVP 엘리트 1종 스프라이트 제작,,P2,Assets,Monster,,"핵심 전투 에셋 (https://app.notion.com/p/3c712168d521818aadeed5f834f61eb4?pvs=21), SUPPORT-02 · 코어 콘텐츠·필수 에셋 (https://app.notion.com/p/SUPPORT-02-3c812168d52181c69f55c942424faf19?pvs=21)",
런 보상·정산 통합 테스트 작성,Phase 1 — Frontend Core,P0,QA,Integration Test,,"핵심 루프 통합 QA (https://app.notion.com/p/QA-3c712168d521818b9f3ac9f3140fc178?pvs=21), CORE-10 · 전체 흐름 검증 (https://app.notion.com/p/CORE-10-3c812168d52181248e64df1d93827b26?pvs=21)","전투 보상 선택 상태 구현 (https://app.notion.com/p/3c712168d52181bea144f4ac27af324b?pvs=21), 사망 정산 로직 구현 (https://app.notion.com/p/3c712168d5218160bc84e1997880fcab?pvs=21), 클리어 정산 로직 구현 (https://app.notion.com/p/3c712168d521814fa02ce184a675a722?pvs=21)"
제출 직전 회귀 테스트 실행,,P0,QA,Regression,,"외부 브라우저 검증 (https://app.notion.com/p/3c712168d52181a0b0c9cce6ab352ee0?pvs=21), SUPPORT-01 · 실행·배포·브라우저 검증 (https://app.notion.com/p/SUPPORT-01-3c812168d521810fba48ffbbd1f927a4?pvs=21)","배포 URL 시크릿 브라우저 테스트 (https://app.notion.com/p/URL-3c712168d521819db930c9e35585c627?pvs=21), 전투 입력·스킬 통합 테스트 작성 (https://app.notion.com/p/3c712168d521811c9eb4e5a33b98734c?pvs=21), 적 공격·방어 통합 테스트 작성 (https://app.notion.com/p/3c712168d52181bbbaafe407bc8c22ba?pvs=21), 런 보상·정산 통합 테스트 작성 (https://app.notion.com/p/3c712168d52181119c70f16ccd1b3534?pvs=21)"
FE-03 · 적 공격 게이지 UI 구현,Phase 1 — Frontend Core,P0,Frontend / UI,Combat UI,김예찬,전투 HUD (https://app.notion.com/p/HUD-3c712168d521818fb208c1a7aafbeb42?pvs=21),
FE-07 · 런 결과·정산 화면 구현,Phase 1 — Frontend Core,P0,Frontend / UI,Result,김예찬,보상·장비·결과 화면 (https://app.notion.com/p/3c712168d521815fb136fb964c656d97?pvs=21),"사망 정산 로직 구현 (https://app.notion.com/p/3c712168d5218160bc84e1997880fcab?pvs=21), 클리어 정산 로직 구현 (https://app.notion.com/p/3c712168d521814fa02ce184a675a722?pvs=21)"
전투 입력·스킬 통합 테스트 작성,,P0,QA,Integration Test,,핵심 루프 통합 QA (https://app.notion.com/p/QA-3c712168d521818b9f3ac9f3140fc178?pvs=21),"키 입력 버퍼·문자열 매칭 구현 (https://app.notion.com/p/3c712168d5218178b6d5def22db79bfb?pvs=21), 커맨드 성공→스킬 시작 연결 (https://app.notion.com/p/3c712168d5218161a5adcc19484329d9?pvs=21), 스킬 타격 효과 적용 구현 (https://app.notion.com/p/3c712168d52181028c0ee031e9d9e84e?pvs=21)"
Codex 활용 사례 로그 정리,,P1,Documentation,Documentation,,"Codex 활용·신규 개발 로그 (https://app.notion.com/p/Codex-3c712168d521810298a7c31ff1594665?pvs=21), SUPPORT-04 · 필수 제출 병행 (https://app.notion.com/p/SUPPORT-04-3c812168d521810cb799d72b0ffe9d96?pvs=21)",
FE-05 · 보상 선택 화면 구현,Phase 1 — Frontend Core,P0,Frontend / UI,Result,김예찬,"전투 보상·다음 전투 (https://app.notion.com/p/3c712168d52181b4a3ebf742f981b058?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",
FE-06 · 장비 장착 화면 구현,Phase 1 — Frontend Core,P1,Frontend / UI,Inventory,김예찬,"전투 보상·다음 전투 (https://app.notion.com/p/3c712168d52181b4a3ebf742f981b058?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",
공격 게이지·후딜 시각 규칙 결정,,P1,Game Design,Needs Decision,,"UI 미정 사항 결정 (https://app.notion.com/p/UI-3c712168d521810eb3a9f1f2e29687a5?pvs=21), SUPPORT-05 · 코어 UI 결정 (https://app.notion.com/p/SUPPORT-05-UI-3c812168d521815cb5ebf82344cada57?pvs=21)",
프로덕션 웹 빌드 구성,,P0,Deploy,Build,지원 정,"웹 빌드·호스팅 (https://app.notion.com/p/3c712168d52181d4b1bdf38d1bb38d3a?pvs=21), SUPPORT-01 · 실행·배포·브라우저 검증 (https://app.notion.com/p/SUPPORT-01-3c812168d521810fba48ffbbd1f927a4?pvs=21)",
MVP 일반 적 2종 스프라이트 제작,,P2,Assets,Monster,,"핵심 전투 에셋 (https://app.notion.com/p/3c712168d521818aadeed5f834f61eb4?pvs=21), SUPPORT-02 · 코어 콘텐츠·필수 에셋 (https://app.notion.com/p/SUPPORT-02-3c812168d52181c69f55c942424faf19?pvs=21)",
게임 썸네일 16:9 제작,,P0,Submission,Demo,,"필수 제출물 준비 (https://app.notion.com/p/3c712168d52181c9b347eefd3c872ac8?pvs=21), SUPPORT-04 · 필수 제출 병행 (https://app.notion.com/p/SUPPORT-04-3c812168d521810cb799d72b0ffe9d96?pvs=21)",
해커톤 기간 신규 개발 범위 기록,,P1,Documentation,Documentation,,"Codex 활용·신규 개발 로그 (https://app.notion.com/p/Codex-3c712168d521810298a7c31ff1594665?pvs=21), SUPPORT-04 · 필수 제출 병행 (https://app.notion.com/p/SUPPORT-04-3c812168d521810cb799d72b0ffe9d96?pvs=21)",
CORE-10-01 · 핵심 루프 E2E 시나리오 작성,,P0,QA,Integration Test,,핵심 루프 통합 QA (https://app.notion.com/p/QA-3c712168d521818b9f3ac9f3140fc178?pvs=21),
플레이 링크·조작법 제출 정보 정리,,P0,Submission,Submission Form,,"필수 제출물 준비 (https://app.notion.com/p/3c712168d52181c9b347eefd3c872ac8?pvs=21), SUPPORT-04 · 필수 제출 병행 (https://app.notion.com/p/SUPPORT-04-3c812168d521810cb799d72b0ffe9d96?pvs=21)",배포 URL 시크릿 브라우저 테스트 (https://app.notion.com/p/URL-3c712168d521819db930c9e35585c627?pvs=21)
FE-01 · HP·AP HUD 구현,Phase 1 — Frontend Core,P0,Frontend / UI,HUD,김예찬,전투 HUD (https://app.notion.com/p/HUD-3c712168d521818fb208c1a7aafbeb42?pvs=21),FE-00 · Phaser 화면 및 에셋 기반 구축 (https://app.notion.com/p/FE-00-Phaser-3c712168d52181dc84b6f2f9b27f6e1d?pvs=21)
플레이어 전투 스프라이트 최소 세트 제작,,P2,Assets,Character,,"핵심 전투 에셋 (https://app.notion.com/p/3c712168d521818aadeed5f834f61eb4?pvs=21), SUPPORT-02 · 코어 콘텐츠·필수 에셋 (https://app.notion.com/p/SUPPORT-02-3c812168d52181c69f55c942424faf19?pvs=21)",
1280×720 최소 해상도 테스트,,P1,QA,Browser Test,,"외부 브라우저 검증 (https://app.notion.com/p/3c712168d52181a0b0c9cce6ab352ee0?pvs=21), SUPPORT-01 · 실행·배포·브라우저 검증 (https://app.notion.com/p/SUPPORT-01-3c812168d521810fba48ffbbd1f927a4?pvs=21)",
MVP 보스 1종 스프라이트·준비 모션 제작,,P1,Assets,Boss,,"핵심 전투 에셋 (https://app.notion.com/p/3c712168d521818aadeed5f834f61eb4?pvs=21), SUPPORT-02 · 코어 콘텐츠·필수 에셋 (https://app.notion.com/p/SUPPORT-02-3c812168d52181c69f55c942424faf19?pvs=21)",
배포 URL 시크릿 브라우저 테스트,,P0,QA,Browser Test,,"외부 브라우저 검증 (https://app.notion.com/p/3c712168d52181a0b0c9cce6ab352ee0?pvs=21), SUPPORT-01 · 실행·배포·브라우저 검증 (https://app.notion.com/p/SUPPORT-01-3c812168d521810fba48ffbbd1f927a4?pvs=21)",외부 호스팅 배포 구성 (https://app.notion.com/p/3c712168d52181f680bde694ede50f34?pvs=21)
FE-04 · 후딜·투사체 상태 UI 구현,Phase 1 — Frontend Core,P1,Frontend / UI,Combat UI,김예찬,전투 HUD (https://app.notion.com/p/HUD-3c712168d521818fb208c1a7aafbeb42?pvs=21),
Track 1 제출 폼 최종 검증·제출,,P0,Submission,Submission Form,,"필수 제출물 준비 (https://app.notion.com/p/3c712168d52181c9b347eefd3c872ac8?pvs=21), SUPPORT-04 · 필수 제출 병행 (https://app.notion.com/p/SUPPORT-04-3c812168d521810cb799d72b0ffe9d96?pvs=21)","게임 소개 200자 이내 작성 (https://app.notion.com/p/200-3c712168d52181f5b44fe423e3e5c93c?pvs=21), 게임 썸네일 16:9 제작 (https://app.notion.com/p/16-9-3c712168d5218162a49bdb7077c91ba1?pvs=21), 플레이 링크·조작법 제출 정보 정리 (https://app.notion.com/p/3c712168d521817ea285fc9b24569401?pvs=21), 제출 직전 회귀 테스트 실행 (https://app.notion.com/p/3c712168d5218113a58ee2b810ffc0c7?pvs=21)"
입력 성공·실패 SFX 제작·연결,,P2,Audio,Audio,,"전투 VFX·SFX (https://app.notion.com/p/VFX-SFX-3c712168d5218194a8a8f5264c97a458?pvs=21), LATER-05 · 접근성·연출 폴리시 (https://app.notion.com/p/LATER-05-3c812168d521815c883df6b31fb2af9a?pvs=21)",
스킬 성공 VFX 구현,,P2,Assets,VFX,,"전투 VFX·SFX (https://app.notion.com/p/VFX-SFX-3c712168d5218194a8a8f5264c97a458?pvs=21), LATER-05 · 접근성·연출 폴리시 (https://app.notion.com/p/LATER-05-3c812168d521815c883df6b31fb2af9a?pvs=21)",
커맨드 입력창 위치 결정,,P1,Game Design,Needs Decision,,"UI 미정 사항 결정 (https://app.notion.com/p/UI-3c712168d521810eb3a9f1f2e29687a5?pvs=21), SUPPORT-05 · 코어 UI 결정 (https://app.notion.com/p/SUPPORT-05-UI-3c812168d521815cb5ebf82344cada57?pvs=21)",
FE-02 · 커맨드 입력 HUD 구현,Phase 1 — Frontend Core,P0,Frontend / UI,Combat UI,김예찬,전투 HUD (https://app.notion.com/p/HUD-3c712168d521818fb208c1a7aafbeb42?pvs=21),
적 공격·방어 통합 테스트 작성,,P0,QA,Integration Test,,핵심 루프 통합 QA (https://app.notion.com/p/QA-3c712168d521818b9f3ac9f3140fc178?pvs=21),"적 공격 타격 시점 처리 (https://app.notion.com/p/3c712168d521814cbcf8db9bc7710f94?pvs=21), 방어 유효 구간 판정 구현 (https://app.notion.com/p/3c712168d5218123b5e0dc70bbb5bd9b?pvs=21)"
접근성 MVP 범위 결정,,P3,Game Design,Needs Decision,,"UI 미정 사항 결정 (https://app.notion.com/p/UI-3c712168d521810eb3a9f1f2e29687a5?pvs=21), LATER-05 · 접근성·연출 폴리시 (https://app.notion.com/p/LATER-05-3c812168d521815c883df6b31fb2af9a?pvs=21)",
게임 소개 200자 이내 작성,,P0,Submission,Submission Form,,"필수 제출물 준비 (https://app.notion.com/p/3c712168d52181c9b347eefd3c872ac8?pvs=21), SUPPORT-04 · 필수 제출 병행 (https://app.notion.com/p/SUPPORT-04-3c812168d521810cb799d72b0ffe9d96?pvs=21)",
외부 호스팅 배포 구성,,P0,Deploy,Hosting,,"웹 빌드·호스팅 (https://app.notion.com/p/3c712168d52181d4b1bdf38d1bb38d3a?pvs=21), SUPPORT-01 · 실행·배포·브라우저 검증 (https://app.notion.com/p/SUPPORT-01-3c812168d521810fba48ffbbd1f927a4?pvs=21)",프로덕션 웹 빌드 구성 (https://app.notion.com/p/3c712168d5218153a4d4e6b7d425ff9a?pvs=21)
3분 이내 데모 영상 제작,,P2,Submission,Demo,,"선택 제출·발표 자료 (https://app.notion.com/p/3c712168d52181708a4af5e17262ce78?pvs=21), LATER-06 · 선택 제출·발표 (https://app.notion.com/p/LATER-06-3c812168d52181b6930ad98a0e55de75?pvs=21)",
FE-00 · Phaser 화면 및 에셋 기반 구축,Phase 0 — Frontend Foundation,P0,Frontend / UI,Combat UI,김예찬,전투 HUD (https://app.notion.com/p/HUD-3c712168d521818fb208c1a7aafbeb42?pvs=21),
CORE-01-01 · 시작·설정→로비 Scene 흐름 구현,Phase 1 — Frontend Core,P0,Frontend / UI,Menu,,CORE-01 · 앱 실행·시작·설정 (https://app.notion.com/p/CORE-01-3c812168d5218153b303db38c4a8ae81?pvs=21),
CORE-06-01 · 상점 Scene 및 맵 복귀 구현,Phase 1 — Frontend Core,P0,Gameplay,Economy,,CORE-06 · 상점 노드 (https://app.notion.com/p/CORE-06-3c812168d521811680c4f05227be39ee?pvs=21),
CORE-09-01 · 정산 완료→로비 복귀 구현,Phase 1 — Frontend Core,P0,Gameplay,Result,,CORE-09 · 정산·로비 복귀 (https://app.notion.com/p/CORE-09-3c812168d52181a2a682f25ae320558e?pvs=21),
CORE-07-01 · 휴식 Scene 및 맵 복귀 구현,Phase 1 — Frontend Core,P0,Gameplay,Run,,CORE-07 · 휴식 노드 (https://app.notion.com/p/CORE-07-3c812168d52181f2a3b6e8df87c6c6dd?pvs=21),
CORE-02-01 · 로비→런 시작 연결 구현,Phase 1 — Frontend Core,P0,Gameplay,Run,,CORE-02 · 로비 (https://app.notion.com/p/CORE-02-3c812168d5218140b016d680ca894319?pvs=21),
CORE-08-01 · 보스 노드→클리어 정산 연결 구현,Phase 1 — Frontend Core,P0,Gameplay,Boss,,CORE-08 · 보스·클리어 (https://app.notion.com/p/CORE-08-3c812168d5218157a131f479afae37dd?pvs=21),
LATER-01-01 · 튜토리얼 진입·완료 흐름 구현,Phase 5 — Post-MVP,P2,Gameplay,Run,,LATER-01 · 튜토리얼 (https://app.notion.com/p/LATER-01-3c812168d521814eb057d74f6f45eb76?pvs=21),
LATER-02-01 · 무료 가챠→장비 장착 흐름 구현,Phase 5 — Post-MVP,P2,Gameplay,Reward,,LATER-02 · 가챠 (https://app.notion.com/p/LATER-02-3c812168d521816f893ee469de3845ab?pvs=21),
LATER-03-01 · 멀티플레이 범위·권위 모델 결정,Phase 5 — Post-MVP,P3,Game Design,Needs Decision,,LATER-03 · 멀티플레이 (https://app.notion.com/p/LATER-03-3c812168d52181eb9b34c58e28ec86db?pvs=21),
CORE-01-03 · 설정 상태 저장·시스템 적용 구현,Phase 1 — Frontend Core,P1,Frontend / UI,Menu,,CORE-01 · 앱 실행·시작·설정 (https://app.notion.com/p/CORE-01-3c812168d5218153b303db38c4a8ae81?pvs=21),
CORE-05-02 · 맵 노드→전투 Encounter 초기화 구현,Phase 1 — Frontend Core,P0,Gameplay,Encounter,,CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21),
