Name,Acceptance Criteria,Assignee,Blocked By,Children,GitHub Issue,GitHub PR,Level,Objective,Parent,Phase,Priority,Related Tasks,Source,Status,Subtype,Type
UI 미정 사항 결정,,,,,,,Feature,,UI / UX (https://app.notion.com/p/UI-UX-3c712168d521814291cae97887d1c7e5?pvs=21),,P1,,https://app.notion.com/p/3c612168d52181e2a63be89e64e6ed09,Backlog,Needs Decision,Game Design
승패·전투 종료 처리,,,,,,,Feature,,"Core Combat (https://app.notion.com/p/Core-Combat-3c712168d52181659896cde5eabb02c8?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",,P0,,https://app.notion.com/p/3c612168d52181679b5cede8cc1d5187,Ready,Combat,Gameplay
전투 상태·타이밍 엔진,,,,,,,Feature,,"Core Combat (https://app.notion.com/p/Core-Combat-3c712168d52181659896cde5eabb02c8?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",,P0,,https://app.notion.com/p/3c612168d52181679b5cede8cc1d5187,Ready,Combat,Gameplay
플레이어 스킬 실행,,,,,,,Feature,,"Typing & Skills (https://app.notion.com/p/Typing-Skills-3c712168d52181ddb00adaaf6024a1ba?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",,P0,,https://app.notion.com/p/3c612168d5218125a530d0f6d87b1a21,Ready,Skill,Gameplay
최소 적·엘리트·보스 콘텐츠,,,,,,,Feature,,"Enemy & Boss (https://app.notion.com/p/Enemy-Boss-3c712168d52181caa176c40ec22c45c8?pvs=21), CORE-08 · 보스·클리어 (https://app.notion.com/p/CORE-08-3c812168d5218157a131f479afae37dd?pvs=21)",,P1,,https://app.notion.com/p/3c612168d52181e38344ed849057ad31,Ready,Encounter,Game Design
커맨드 입력 판정,,,,,,,Feature,,"Typing & Skills (https://app.notion.com/p/Typing-Skills-3c712168d52181ddb00adaaf6024a1ba?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",,P0,,https://app.notion.com/p/3c612168d5218125a530d0f6d87b1a21,Ready,Typing,Gameplay
보상·장비·결과 화면,,,,,,,Feature,,"UI / UX (https://app.notion.com/p/UI-UX-3c712168d521814291cae97887d1c7e5?pvs=21), CORE-09 · 정산·로비 복귀 (https://app.notion.com/p/CORE-09-3c812168d52181a2a682f25ae320558e?pvs=21)",,P1,,https://app.notion.com/p/3c612168d52181e2a63be89e64e6ed09,Ready,Result,Frontend / UI
적 공격 예고·타임라인,,,,,,,Feature,,"Enemy & Boss (https://app.notion.com/p/Enemy-Boss-3c712168d52181caa176c40ec22c45c8?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",,P0,,https://app.notion.com/p/3c612168d52181e38344ed849057ad31,Ready,Enemy,Gameplay
탑 지도·노드 선택,,,,,,,Feature,,"Tower Run (https://app.notion.com/p/Tower-Run-3c712168d521819e9695c8c9d02174b8?pvs=21), CORE-04 · 맵·노드 진행 (https://app.notion.com/p/CORE-04-3c812168d5218184af69e24fcc74d9a3?pvs=21)",,P1,,https://app.notion.com/p/3c612168d5218199a030d9acdd6e99a1,Ready,Run,Gameplay
선택 제출·발표 자료,,,,,,,Feature,,Hackathon Submission (https://app.notion.com/p/Hackathon-Submission-3c712168d5218190be80c6b1415406cc?pvs=21),,P2,,https://app.notion.com/p/3c712168d52181c89c82f835c7ce8a6b,Backlog,Presentation,Submission
방어 대응 입력,,,,,,,Feature,,"Typing & Skills (https://app.notion.com/p/Typing-Skills-3c712168d52181ddb00adaaf6024a1ba?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",,P1,,https://app.notion.com/p/3c612168d5218125a530d0f6d87b1a21,Ready,Skill,Gameplay
유물 범위·밸런스 결정,,,,,,,Feature,,Relic System (https://app.notion.com/p/Relic-System-3c712168d521813b8ecadb8b4500e3cd?pvs=21),,P2,,https://app.notion.com/p/3c612168d5218107b90ccf7efca1ea28,Backlog,Needs Decision,Game Design
적 데이터·행동 시스템,,,,,,,Feature,,"Enemy & Boss (https://app.notion.com/p/Enemy-Boss-3c712168d52181caa176c40ec22c45c8?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",,P1,,https://app.notion.com/p/3c612168d52181e38344ed849057ad31,Ready,Enemy,Gameplay
핵심 전투 에셋,,,,,,,Feature,,Art / Audio (https://app.notion.com/p/Art-Audio-3c712168d521819dac18cb1aedab18fd?pvs=21),,P2,,https://app.notion.com/p/3c712168d52180c68591eaddfdedfd40,Backlog,Monster,Assets
핵심 루프 통합 QA,,,,,,,Feature,,"QA / Release (https://app.notion.com/p/QA-Release-3c712168d5218138900eff69ef029db4?pvs=21), CORE-10 · 전체 흐름 검증 (https://app.notion.com/p/CORE-10-3c812168d52181248e64df1d93827b26?pvs=21)",,P0,,https://app.notion.com/p/3c712168d52181c89c82f835c7ce8a6b,Ready,Integration Test,QA
전투 HUD,,,,,,,Feature,,"UI / UX (https://app.notion.com/p/UI-UX-3c712168d521814291cae97887d1c7e5?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",,P0,,https://app.notion.com/p/3c612168d52181e2a63be89e64e6ed09,Ready,HUD,Frontend / UI
전투 VFX·SFX,,,,,,,Feature,,Art / Audio (https://app.notion.com/p/Art-Audio-3c712168d521819dac18cb1aedab18fd?pvs=21),,P2,,https://app.notion.com/p/3c612168d52181e2a63be89e64e6ed09,Backlog,VFX,Assets
유물 최소 규칙 구조,,,,,,,Feature,,Relic System (https://app.notion.com/p/Relic-System-3c712168d521813b8ecadb8b4500e3cd?pvs=21),,P2,,https://app.notion.com/p/3c612168d5218107b90ccf7efca1ea28,Backlog,Relic,Gameplay
외부 브라우저 검증,,,,,,,Feature,,QA / Release (https://app.notion.com/p/QA-Release-3c712168d5218138900eff69ef029db4?pvs=21),,P0,,https://app.notion.com/p/3c712168d52181c89c82f835c7ce8a6b,Ready,Browser Test,QA
장비 슬롯·교체,,,,,,,Feature,,Equipment System (https://app.notion.com/p/Equipment-System-3c712168d52181ccb77ecbce2c8455f7?pvs=21),,P1,,https://app.notion.com/p/3c612168d52181f2bbe8ca75ff69fd38,Ready,Equipment,Gameplay
전투 보상·다음 전투,,,,,,,Feature,,"Tower Run (https://app.notion.com/p/Tower-Run-3c712168d521819e9695c8c9d02174b8?pvs=21), CORE-04 · 맵·노드 진행 (https://app.notion.com/p/CORE-04-3c812168d5218184af69e24fcc74d9a3?pvs=21)",,P0,,https://app.notion.com/p/3c612168d5218199a030d9acdd6e99a1,Ready,Reward,Gameplay
콤보·입력 피드백,,,,,,,Feature,,Typing & Skills (https://app.notion.com/p/Typing-Skills-3c712168d52181ddb00adaaf6024a1ba?pvs=21),,P1,,https://app.notion.com/p/3c612168d5218125a530d0f6d87b1a21,Ready,Typing,Gameplay
런 상태·전환,,,,,,,Feature,,"Tower Run (https://app.notion.com/p/Tower-Run-3c712168d521819e9695c8c9d02174b8?pvs=21), CORE-03 · 런 시작 (https://app.notion.com/p/CORE-03-3c812168d52181258ceecd47e02828b1?pvs=21)",,P0,,https://app.notion.com/p/3c612168d5218199a030d9acdd6e99a1,Ready,Run,Gameplay
필수 제출물 준비,,,,,,,Feature,,Hackathon Submission (https://app.notion.com/p/Hackathon-Submission-3c712168d5218190be80c6b1415406cc?pvs=21),,P0,,https://app.notion.com/p/3c712168d52181c89c82f835c7ce8a6b,Ready,Submission Form,Submission
웹 빌드·호스팅,,,,,,,Feature,,QA / Release (https://app.notion.com/p/QA-Release-3c712168d5218138900eff69ef029db4?pvs=21),,P0,,https://app.notion.com/p/3c712168d52181c89c82f835c7ce8a6b,Ready,Hosting,Deploy
장비 보상·드롭,,,,,,,Feature,,Equipment System (https://app.notion.com/p/Equipment-System-3c712168d52181ccb77ecbce2c8455f7?pvs=21),,P2,,https://app.notion.com/p/3c612168d52181f2bbe8ca75ff69fd38,Backlog,Reward,Gameplay
장비 데이터·스킬 제공,,,,,,,Feature,,Equipment System (https://app.notion.com/p/Equipment-System-3c712168d52181ccb77ecbce2c8455f7?pvs=21),,P1,,https://app.notion.com/p/3c612168d52181f2bbe8ca75ff69fd38,Ready,Equipment,Gameplay
피해·HP·AP 처리,,,,,,,Feature,,"Core Combat (https://app.notion.com/p/Core-Combat-3c712168d52181659896cde5eabb02c8?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",,P0,,https://app.notion.com/p/3c612168d52181679b5cede8cc1d5187,Ready,Combat,Gameplay
스킬 타격 효과 적용 구현,효과는 타격 시점에만 적용된다; 피해 스킬은 피해 계산을 사용한다; 중복 적용되지 않는다.,,"스킬 생명주기 타이머 구현 (https://app.notion.com/p/3c712168d52181c1a6b0d9bfe6c1dcad?pvs=21), 피해 계산 공식 구현 (https://app.notion.com/p/3c712168d52181d68570da05088a81fc?pvs=21)",,,,Task,후딜 종료 시 피해·방어·상태 효과를 실제 대상에 적용한다.,플레이어 스킬 실행 (https://app.notion.com/p/3c712168d5218135a4c7f0faffdc68bd?pvs=21),Phase 1 — Frontend Core,P0,,https://app.notion.com/p/3c612168d5218125a530d0f6d87b1a21,Ready,Skill,Gameplay
CORE-05-01 · 전투 종료→맵·정산 분기 구현,전투 종료 시 타이머와 입력이 중지된다. 승리 시 현재 노드를 cleared 처리하고 Map Scene으로 복귀해 다음 노드를 연다. 패배 시 런을 종료하고 사망 정산으로 이동한다.,,"전투 승리 판정 구현 (https://app.notion.com/p/3c712168d5218171ab1dd81f6696c215?pvs=21), RunState 데이터 모델 구현 (https://app.notion.com/p/RunState-3c712168d5218188ba86d1b16e591b86?pvs=21)",,https://github.com/KenWR/typing-roguelike/issues/91,https://github.com/KenWR/typing-roguelike/pull/92,Task,"전투 종료 시 타이머를 정리하고 승리는 맵, 패배는 사망 정산으로 분기한다.","런 상태·전환 (https://app.notion.com/p/3c712168d52181c389cecf938a9909bc?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",,P0,,https://app.notion.com/p/3c612168d5218199a030d9acdd6e99a1,Done,Run,Gameplay
CORE-04-01 · 지도 노드 선택·잠금 로직 구현,locked 노드는 선택할 수 없다. available 노드 선택 즉시 중복 클릭을 잠그고 in_progress로 바뀐다. 노드 타입에 따라 Combat·Shop·Rest Scene으로 이동한다. 완료 후 cleared 표시와 다음 available 노드가 갱신된다.,,,,https://github.com/KenWR/typing-roguelike/issues/110,https://github.com/KenWR/typing-roguelike/pull/111,Task,Map Scene에서 현재 노드와 연결된 available 노드 하나만 선택해 노드 타입별 Scene으로 이동한다.,탑 지도·노드 선택 (https://app.notion.com/p/3c712168d5218165a801f725a7f2e217?pvs=21),,P1,,https://app.notion.com/p/3c612168d5218199a030d9acdd6e99a1,Done,Run,Gameplay
장비 교체 전후 스킬 diff 계산,교체 전후 스킬 목록 차이를 계산한다; 추가/제거 스킬을 각각 제공한다; 실제 장착 결과와 일치한다.,,,,https://github.com/KenWR/typing-roguelike/issues/118,https://github.com/KenWR/typing-roguelike/pull/119,Task,교체 시 사라지고 추가되는 기술을 UI에 제공한다.,"장비 슬롯·교체 (https://app.notion.com/p/3c712168d52181a78ad9fc8bc6f73b7d?pvs=21), LATER-04 · 유물·보상·콤보 확장 (https://app.notion.com/p/LATER-04-3c812168d5218152a139f4f11879c978?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",Phase 1 — Frontend Core,P1,,https://app.notion.com/p/3c612168d52181f2bbe8ca75ff69fd38,Done,Equipment,Gameplay
방어 유효 구간 판정 구현,방어 스킬 유효 구간을 추적한다; 적 타격 시점과 겹치면 방어를 적용한다; 유효 구간 밖이면 일반 피격 처리한다.,,,,https://github.com/KenWR/typing-roguelike/issues/113,https://github.com/KenWR/typing-roguelike/pull/114,Task,적 타격 도착 전에 입력한 방어 스킬의 성공 여부를 판정한다.,방어 대응 입력 (https://app.notion.com/p/3c712168d52181748fcefcebcea7939e?pvs=21),,P1,,https://app.notion.com/p/3c612168d5218125a530d0f6d87b1a21,In Progress,Skill,Gameplay
CombatState 데이터 모델 구현,전투 상태 전이가 명시된다; 선딜/후딜/타격 상태를 구분한다; 일시정지 시 시간 진행을 멈출 수 있다.,지원 정,,,https://github.com/KenWR/typing-roguelike/issues/17,https://github.com/KenWR/typing-roguelike/pull/18,Task,전투의 입력·시전·후딜·타격·종료 상태를 일관되게 표현한다.,전투 상태·타이밍 엔진 (https://app.notion.com/p/3c712168d521812aa27bfd336331b660?pvs=21),Phase 1 — Frontend Core,P0,,https://app.notion.com/p/3c612168d52181679b5cede8cc1d5187,Done,Combat,Gameplay
MVP 엘리트 1종 선정·명세,보스 기믹과 연결되는 공격을 가진다; 일반 적보다 높은 위험/보상을 정의한다; 대응 방법이 판독 가능하다.,,,,,,Task,보스 대표 기믹을 미리 학습시키는 엘리트 1종을 확정한다.,최소 적·엘리트·보스 콘텐츠 (https://app.notion.com/p/3c712168d521813a8e14fac240b378e4?pvs=21),,P1,,https://app.notion.com/p/3c612168d52181e38344ed849057ad31,Ready,Encounter,Game Design
MVP 보스 1종 선정·명세,대표 기술 1개 이상을 가진다; 엘리트에서 학습한 요소를 검증한다; 실패 원인과 대응이 명확하다.,,,,,,Task,핵심 기믹과 타자 전투 재미를 검증할 보스 1종을 확정한다.,최소 적·엘리트·보스 콘텐츠 (https://app.notion.com/p/3c712168d521813a8e14fac240b378e4?pvs=21),,P1,,https://app.notion.com/p/3c612168d52181e38344ed849057ad31,Ready,Boss,Game Design
유물 효과 인터페이스 구현,유물 효과가 전투 계산 훅에 연결된다; 런 획득 즉시 적용된다; 런 종료 시 초기화된다.,,,,,,Task,입력/AP/타이밍/장비 연계를 변형할 수 있는 최소 훅 구조를 만든다.,"유물 최소 규칙 구조 (https://app.notion.com/p/3c712168d521819d9e60d943ec12fb13?pvs=21), LATER-04 · 유물·보상·콤보 확장 (https://app.notion.com/p/LATER-04-3c812168d5218152a139f4f11879c978?pvs=21)",,P2,,https://app.notion.com/p/3c612168d5218107b90ccf7efca1ea28,Backlog,Relic,Gameplay
10층 3분기 지도 데이터 구조 구현,노드 타입과 연결 정보를 저장한다; 현재 노드에서 유효한 다음 노드만 선택 가능하다; 전투/보상/상점/휴식 아이콘 타입을 표현할 수 있다.,김예찬,,,,https://github.com/KenWR/typing-roguelike/pull/59,Task,탑의 10층·최대 3분기 노드 연결 구조를 데이터로 표현한다.,탑 지도·노드 선택 (https://app.notion.com/p/3c712168d5218165a801f725a7f2e217?pvs=21),,P1,,https://app.notion.com/p/3c612168d5218199a030d9acdd6e99a1,Review,Run,Gameplay
콤보 카운트·보너스 구현,정확 입력 시 콤보가 증가한다; 끊김 조건에서 초기화된다; 콤보 보너스가 데이터로 조정 가능하다.,,,,https://github.com/KenWR/typing-roguelike/issues/107,https://github.com/KenWR/typing-roguelike/pull/108,Task,정확 입력 연속 성공을 전투 보상으로 연결한다.,"콤보·입력 피드백 (https://app.notion.com/p/3c712168d52181b98934c0412796757b?pvs=21), LATER-04 · 유물·보상·콤보 확장 (https://app.notion.com/p/LATER-04-3c812168d5218152a139f4f11879c978?pvs=21)",,P2,,https://app.notion.com/p/3c612168d5218125a530d0f6d87b1a21,Done,Typing,Gameplay
CORE-03-01 · 런 시작→맵 진입 구현,RunState가 초기화된다. 현재 맵과 첫 available 노드가 설정된다. Map Scene이 표시되며 사용자가 연결된 노드를 선택하기 전에는 Combat Scene이 열리지 않는다.,,"RunState 데이터 모델 구현 (https://app.notion.com/p/RunState-3c712168d5218188ba86d1b16e591b86?pvs=21), CombatState 데이터 모델 구현 (https://app.notion.com/p/CombatState-3c712168d5218123bd49c33321c0fbd4?pvs=21)",,https://github.com/KenWR/typing-roguelike/issues/70,https://github.com/KenWR/typing-roguelike/pull/71,Task,로비에서 새 런을 생성한 뒤 첫 전투로 직행하지 않고 Map Scene에 진입한다.,런 상태·전환 (https://app.notion.com/p/3c712168d52181c389cecf938a9909bc?pvs=21),Phase 1 — Frontend Core,P0,,https://app.notion.com/p/3c612168d5218199a030d9acdd6e99a1,Done,Run,Gameplay
재화 명칭·사용처 MVP 범위 결정,MVP 재화 명칭 또는 임시 명칭을 정한다; 사용처를 구현 여부와 후속 범위로 구분한다.,,,,,,Task,정산 이후 재화를 실제로 어디까지 사용할지 MVP 범위를 확정한다.,런 종료·정산 (https://app.notion.com/p/3c712168d521810c8191cc8dad9a8b65?pvs=21),,P3,,https://app.notion.com/p/3c612168d5218179935bf3d31bebe6ad,Backlog,Needs Decision,Game Design
방어 유형 세분화 범위 결정,MVP 방어 판정 종류를 확정한다; 구현에 필요한 효과 차이를 문서화한다.,,,,,,Task,패링·회피·피해 감소를 MVP에서 분리할지 결정한다.,방어 대응 입력 (https://app.notion.com/p/3c712168d52181748fcefcebcea7939e?pvs=21),,P2,,https://app.notion.com/p/3c612168d52181679b5cede8cc1d5187,Backlog,Needs Decision,Game Design
적 공격 타격 시점 처리,후딜 종료 전에는 피해가 적용되지 않는다; 종료 시 한 번만 효과가 적용된다; 방어 유효 구간을 함께 판정한다.,,"적 공격 게이지 진행 로직 구현 (https://app.notion.com/p/3c712168d52181debb4ce8730e2d2a2d?pvs=21), 피해 계산 공식 구현 (https://app.notion.com/p/3c712168d52181d68570da05088a81fc?pvs=21)",,,,Task,후딜 종료 시 플레이어 피해·상태 효과를 적용한다.,적 공격 예고·타임라인 (https://app.notion.com/p/3c712168d521816587e8df8b350f0b52?pvs=21),,P0,,https://app.notion.com/p/3c612168d52181e38344ed849057ad31,Ready,Enemy,Gameplay
클리어 정산 로직 구현,보유 중인 런 장비별 환전 가치를 합산한다; 스테이지 클리어 보너스를 별도 항목으로 추가한다; 결과 데이터에 장비별 환전액·클리어 보너스·최종 총액을 구분해 기록한다; 환전된 런 장비는 정산 후 보유하지 않으며 같은 정산은 한 번만 지급된다.,,"전투 승리 판정 구현 (https://app.notion.com/p/3c712168d5218171ab1dd81f6696c215?pvs=21), RunState 데이터 모델 구현 (https://app.notion.com/p/RunState-3c712168d5218188ba86d1b16e591b86?pvs=21)",,,,Task,"런 클리어 시 보유 중인 모든 런 장비를 재화로 환전하고, 스테이지 클리어 보너스를 별도로 더해 영구 재화로 지급한다.","런 종료·정산 (https://app.notion.com/p/3c712168d521810c8191cc8dad9a8b65?pvs=21), CORE-09 · 정산·로비 복귀 (https://app.notion.com/p/CORE-09-3c812168d52181a2a682f25ae320558e?pvs=21)",Phase 1 — Frontend Core,P0,,https://app.notion.com/p/3c612168d5218179935bf3d31bebe6ad,Ready,Economy,Gameplay
사망 정산 로직 구현,보유 중인 런 장비의 환전 가치를 합산한다; 클리어 보너스는 더하지 않는다; 결과 데이터에 장비별 환전액과 총액을 남긴다; 정산 완료 후 런 장비를 제거하고 같은 런을 종료한다.,,"전투 패배 판정 구현 (https://app.notion.com/p/3c712168d5218173a778c22e0e5f991b?pvs=21), RunState 데이터 모델 구현 (https://app.notion.com/p/RunState-3c712168d5218188ba86d1b16e591b86?pvs=21)",,,,Task,"사망 시 런에서 획득해 보유 중인 장비를 환전하고, 장비 환전 가치만 영구 재화로 지급한다.","런 종료·정산 (https://app.notion.com/p/3c712168d521810c8191cc8dad9a8b65?pvs=21), CORE-09 · 정산·로비 복귀 (https://app.notion.com/p/CORE-09-3c812168d52181a2a682f25ae320558e?pvs=21)",Phase 1 — Frontend Core,P0,,https://app.notion.com/p/3c612168d5218179935bf3d31bebe6ad,Ready,Economy,Gameplay
커맨드 성공→스킬 시작 연결,입력 성공 시 AP를 검사한다; 충분하면 즉시 스킬 시작 상태가 된다; 부족하면 스킬이 시작되지 않는다.,지원 정,"키 입력 버퍼·문자열 매칭 구현 (https://app.notion.com/p/3c712168d5218178b6d5def22db79bfb?pvs=21), 스킬 데이터 계약 구현 (https://app.notion.com/p/3c712168d521818f8d91fec34a7f6cdf?pvs=21), AP 소비·재생 로직 구현 (https://app.notion.com/p/AP-3c712168d521817c8d80c35c44a877d2?pvs=21)",,https://github.com/KenWR/typing-roguelike/issues/56,https://github.com/KenWR/typing-roguelike/pull/57,Task,정확 입력이 AP 검사 후 실제 스킬 실행으로 이어지게 한다.,플레이어 스킬 실행 (https://app.notion.com/p/3c712168d5218135a4c7f0faffdc68bd?pvs=21),Phase 1 — Frontend Core,P0,,https://app.notion.com/p/3c612168d5218125a530d0f6d87b1a21,Done,Skill,Gameplay
HP 상태 및 사망 판정 구현,HP가 피해만큼 감소한다; HP가 0 이하이면 사망 상태가 된다; 중복 사망 처리가 발생하지 않는다.,지원 정,,,https://github.com/KenWR/typing-roguelike/issues/20,https://github.com/KenWR/typing-roguelike/pull/49,Task,피해 적용과 사망 전환을 처리한다.,피해·HP·AP 처리 (https://app.notion.com/p/HP-AP-3c712168d52181f4acc7fcb2f7a68245?pvs=21),Phase 1 — Frontend Core,P0,,https://app.notion.com/p/3c612168d52181679b5cede8cc1d5187,Done,Combat,Gameplay
EnemyAttackTimeline 데이터 모델 구현,공격별 선딜/후딜/타격 상태를 보유한다; UI가 진행률과 공격 종류를 읽을 수 있다; 동시 타임라인을 지원한다.,지원 정,CombatState 데이터 모델 구현 (https://app.notion.com/p/CombatState-3c712168d5218123bd49c33321c0fbd4?pvs=21),,https://github.com/KenWR/typing-roguelike/issues/32,https://github.com/KenWR/typing-roguelike/pull/35,Task,적 공격의 선딜·시전 완료·후딜·타격 정보를 추적한다.,적 공격 예고·타임라인 (https://app.notion.com/p/3c712168d521816587e8df8b350f0b52?pvs=21),,P0,,https://app.notion.com/p/3c612168d52181e38344ed849057ad31,Done,Enemy,Gameplay
중첩 공격 타임라인 처리,시전 완료 직후 다음 공격 게이지를 시작할 수 있다; 기존 후딜과 새 선딜이 동시에 진행된다; 타격 순서가 시간 기준으로 안정적이다.,,,,,,Task,이전 공격 후딜 중 다음 공격 선딜이 시작되는 규칙을 지원한다.,전투 상태·타이밍 엔진 (https://app.notion.com/p/3c712168d521812aa27bfd336331b660?pvs=21),,P1,,https://app.notion.com/p/3c612168d52181679b5cede8cc1d5187,Ready,Combat,Gameplay
전투 승리 판정 구현,전투 대상이 모두 사망하면 승리한다; 추가 공격 입력을 중지한다; 보상 단계 전환 이벤트를 발생시킨다.,,HP 상태 및 사망 판정 구현 (https://app.notion.com/p/HP-3c712168d5218165bd10c2372b8e79d2?pvs=21),,https://github.com/KenWR/typing-roguelike/issues/86,https://github.com/KenWR/typing-roguelike/pull/88,Task,모든 적 처치 시 전투를 종료하고 보상 단계로 전환한다.,승패·전투 종료 처리 (https://app.notion.com/p/3c712168d521811e9130ff3a2f1f7284?pvs=21),,P0,,https://app.notion.com/p/3c612168d52181679b5cede8cc1d5187,Done,Combat,Gameplay
전투 패배 판정 구현,플레이어 사망 시 패배 상태가 된다; 추가 입력과 적 행동을 중지한다; 런 정산 단계로 전환한다.,,HP 상태 및 사망 판정 구현 (https://app.notion.com/p/HP-3c712168d5218165bd10c2372b8e79d2?pvs=21),,,,Task,플레이어 사망 시 전투와 런 종료 흐름을 시작한다.,승패·전투 종료 처리 (https://app.notion.com/p/3c712168d521811e9130ff3a2f1f7284?pvs=21),,P0,,https://app.notion.com/p/3c612168d52181679b5cede8cc1d5187,Ready,Combat,Gameplay
키 입력 버퍼·문자열 매칭 구현,입력 문자열을 순서대로 누적한다; 정답/오답 상태를 즉시 판정한다; 완성 시 스킬 실행 이벤트를 발생시킨다.,지원 정,,,https://github.com/KenWR/typing-roguelike/issues/14,https://github.com/KenWR/typing-roguelike/pull/15,Task,현재 커맨드와 사용자 입력을 실시간 비교한다.,커맨드 입력 판정 (https://app.notion.com/p/3c712168d521814d811ad86f3ec65c3f?pvs=21),Phase 1 — Frontend Core,P0,,https://app.notion.com/p/3c612168d5218125a530d0f6d87b1a21,Done,Typing,Gameplay
