relic_id,rarity,name_ko,file_96,file_192
relic_prophets_eye,rare,예언자의 눈,96/relic_prophets_eye.png,192/relic_prophets_eye.png
relic_gamblers_dice,uncommon,도박사의 주사위,96/relic_gamblers_dice.png,192/relic_gamblers_dice.png
relic_greedy_pouch,rare,탐욕의 주머니,96/relic_greedy_pouch.png,192/relic_greedy_pouch.png
relic_recovery_vial,uncommon,회복의 물약병,96/relic_recovery_vial.png,192/relic_recovery_vial.png
relic_immortal_feather,legendary,불사의 깃털,96/relic_immortal_feather.png,192/relic_immortal_feather.png
relic_shadow_cloak,rare,그림자 망토,96/relic_shadow_cloak.png,192/relic_shadow_cloak.png
relic_heavy_armor,uncommon,무거운 갑옷,96/relic_heavy_armor.png,192/relic_heavy_armor.png
relic_hunters_cloak,uncommon,사냥꾼의 망토,96/relic_hunters_cloak.png,192/relic_hunters_cloak.png
relic_duelists_medal,legendary,결투가의 훈장,96/relic_duelists_medal.png,192/relic_duelists_medal.png
relic_echo_charm,rare,메아리의 부적,96/relic_echo_charm.png,192/relic_echo_charm.png
relic_memory_fragment,uncommon,메모리 조각,96/relic_memory_fragment.png,192/relic_memory_fragment.png
relic_red_hourglass,rare,붉은 모래시계,96/relic_red_hourglass.png,192/relic_red_hourglass.png
relic_mask_of_forgetting,uncommon,망각의 가면,96/relic_mask_of_forgetting.png,192/relic_mask_of_forgetting.png
relic_soul_devourer,legendary,영혼 포식자,96/relic_soul_devourer.png,192/relic_soul_devourer.png
relic_tower_contract,legendary,탑의 계약서,96/relic_tower_contract.png,192/relic_tower_contract.png
